證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
3011,1492489,582,32048233,21.4,21.9,21.15,21.65,0.15,21.65,2,21.7,8,24.89
3013,2063013,821,30934253,13.85,15.2,13.85,15.2,1.35,15.2,27503,,0,0.0
3014,389737,415,25584502,66.1,66.4,65.3,65.5,0.2,65.4,11,65.5,1,6.33
3015,51362,47,1851026,36.05,36.15,35.9,35.9,0.2,35.9,1,35.95,1,8.89
3016,1226310,1075,95591981,78.4,79.8,76.8,77.4,1.6,77.4,30,77.5,29,42.53
3017,4106732,3202,469899668,114.0,115.5,113.0,115.0,0.0,115.0,12,115.5,114,13.08
3018,8227,45,89486,10.75,10.8,10.75,10.8,0.05,10.75,2,10.85,2,0.0
3019,1128669,1075,68729228,61.3,61.9,60.3,60.4,0.6,60.4,15,60.5,3,14.48
3021,48056,32,961970,20.05,20.05,19.9,20.05,0.05,20.05,1,20.1,1,12.45
3022,2083786,1447,113552527,54.8,55.5,53.4,54.1,0.4,54.0,38,54.1,7,11.2
3023,670090,6525,179154292,271.5,275.5,264.5,265.0,13.0,265.0,15,265.5,1,24.47
3024,956824,461,12428055,12.95,13.35,12.8,12.85,0.05,12.85,18,12.9,58,16.91
3025,894572,619,17489664,19.4,20.25,18.8,19.0,0.6,18.95,14,19.0,10,20.0
3026,173202,206,15591065,90.0,90.7,89.7,90.4,0.4,90.3,1,90.4,4,8.5
3027,117318,98,2183576,18.75,18.8,18.35,18.65,0.1,18.5,2,18.65,3,42.39
3028,390030,462,11681515,30.05,30.1,29.8,29.95,0.25,29.95,10,30.0,47,6.95
3029,305425,213,11952348,39.1,39.4,39.0,39.15,0.0,39.1,16,39.15,14,10.09
3030,1140063,792,66089969,58.3,58.4,57.4,57.9,0.4,57.9,2,58.1,10,9.25
3031,102270,72,1624220,16.0,16.05,15.8,15.85,0.05,15.8,22,15.85,5,12.99
3032,63011,43,1835030,29.8,29.8,28.9,29.15,0.15,29.1,6,29.15,2,11.08
3033,1591612,996,41643709,26.35,26.45,25.85,25.95,0.5,25.95,18,26.0,30,5.59
3034,4720169,5915,1172482180,249.0,251.0,246.0,249.5,1.0,249.5,62,250.0,166,3.54
3035,23006230,15091,3461316814,150.5,153.0,148.5,148.5,3.0,148.5,449,149.0,127,17.27
3036,1390010,1779,95251721,68.9,69.1,68.1,68.3,1.0,68.3,46,68.4,7,7.42
3036A,22000,10,1051150,47.7,47.8,47.7,47.8,0.0,47.75,24,47.8,23,0.0
3037,44478699,25620,6569038348,150.0,151.0,145.5,147.5,0.5,147.5,64,148.0,734,9.5
3038,5247097,2532,107326398,21.95,22.0,19.8,20.35,1.5,20.3,37,20.35,10,11.43
3040,33050,26,974125,29.45,29.75,29.3,29.45,0.0,29.35,1,29.5,5,17.43
3041,1067863,656,25321562,23.75,24.2,23.3,23.45,0.35,23.45,9,23.5,2,0.0
3042,750493,1369,64888746,86.3,87.4,85.9,86.1,0.6,86.1,3,86.2,8,8.45
3043,153151,69,670626,4.37,4.4,4.31,4.39,0.01,4.38,28,4.39,20,9.34
3044,698150,472,70462106,101.0,101.5,99.9,101.5,0.5,101.5,3,102.0,50,9.05
3045,5648560,2661,576282683,102.0,103.5,101.0,101.5,0.5,101.5,69,102.0,376,26.3
3046,99001,65,2834728,28.75,29.75,28.4,28.4,0.35,28.4,11,28.65,1,13.4
3047,3674400,1264,46737065,12.9,13.05,12.5,12.6,0.3,12.55,54,12.6,13,630.0
3048,1009417,611,29042442,29.3,29.35,28.5,28.7,0.6,28.65,7,28.7,13,6.58
3049,5737154,2130,55562417,9.6,9.86,9.52,9.65,0.03,9.62,4,9.65,8,13.59
3050,1401106,347,22141661,16.2,16.3,15.55,15.65,0.55,15.65,8,15.75,9,19.56
3051,1600522,824,25279507,16.3,16.45,15.3,15.4,0.8,15.4,13,15.5,16,8.11
3052,98697,62,1011376,10.25,10.3,10.2,10.3,0.0,10.25,1,10.3,26,18.39
